"Story","Title","Result","Date","Stability","Duration (s)"
"Invalid login test","Login test invalid","SUCCESS","2021-05-09T16:25:20.849079+03:00[Europe/Bucharest]","0.0","12.42"
"Valid login test","Login test valid","SUCCESS","2021-05-09T16:25:38.8834374+03:00[Europe/Bucharest]","0.0","10.18"
